Actual,Predicted,Method,Residual,AbsoluteError
39.0,38.99242978006878,Full TH-SHRC,0.007570219931217537,0.007570219931217537
38.2,38.163191370793385,Full TH-SHRC,0.03680862920661809,0.03680862920661809
38.0,37.95386282835875,Full TH-SHRC,0.04613717164124864,0.04613717164124864
38.0,37.96729351055877,Full TH-SHRC,0.03270648944123167,0.03270648944123167
39.0,39.23244428621325,Full TH-SHRC,-0.23244428621325142,0.23244428621325142
38.6,38.58184845566265,Full TH-SHRC,0.01815154433734989,0.01815154433734989
39.1,39.23244428621325,Full TH-SHRC,-0.13244428621325,0.13244428621325
39.9,39.94248398148775,Full TH-SHRC,-0.04248398148774868,0.04248398148774868
39.3,39.46928712306741,Full TH-SHRC,-0.1692871230674129,0.1692871230674129
39.3,39.59043153847233,Full TH-SHRC,-0.2904315384723333,0.2904315384723333
39.4,39.248344392211024,Full TH-SHRC,0.15165560778897458,0.15165560778897458
39.1,39.20416897490939,Full TH-SHRC,-0.10416897490939192,0.10416897490939192
39.1,39.17979553025526,Full TH-SHRC,-0.07979553025526087,0.07979553025526087
40.2,40.19049237131971,Full TH-SHRC,0.009507628680289315,0.009507628680289315
39.5,39.38443052778362,Full TH-SHRC,0.1155694722163787,0.1155694722163787
40.8,40.39010303927639,Full TH-SHRC,0.40989696072360715,0.40989696072360715
39.5,39.486176547762696,Full TH-SHRC,0.013823452237303968,0.013823452237303968
39.8,39.519060106094926,Full TH-SHRC,0.2809398939050709,0.2809398939050709
40.0,39.46290877341728,Full TH-SHRC,0.5370912265827172,0.5370912265827172
39.8,39.50198690112813,Full TH-SHRC,0.2980130988718699,0.2980130988718699
38.5,39.35188779674269,Full TH-SHRC,-0.8518877967426874,0.8518877967426874
40.0,39.50415322125298,Full TH-SHRC,0.49584677874702265,0.49584677874702265
38.2,38.300985106595824,Full TH-SHRC,-0.1009851065958216,0.1009851065958216
38.3,38.70916991696783,Full TH-SHRC,-0.40916991696783356,0.40916991696783356
39.0,39.597516391302406,Full TH-SHRC,-0.5975163913024062,0.5975163913024062
38.4,38.87230367202084,Full TH-SHRC,-0.47230367202084267,0.47230367202084267
40.1,39.16586777012158,Full TH-SHRC,0.934132229878422,0.934132229878422
39.7,38.84963501432453,Full TH-SHRC,0.8503649856754762,0.8503649856754762
39.2,38.83983471639484,Full TH-SHRC,0.36016528360516276,0.36016528360516276
40.2,38.85912969721327,Full TH-SHRC,1.3408703027867332,1.3408703027867332
39.3,39.108423121629485,Full TH-SHRC,0.19157687837051185,0.19157687837051185
39.2,39.27530002953394,Full TH-SHRC,-0.07530002953393478,0.07530002953393478
38.4,38.25427209240904,Full TH-SHRC,0.14572790759095966,0.14572790759095966
38.7,39.10386311563634,Full TH-SHRC,-0.4038631156363337,0.4038631156363337
